samples	monoallelic	biallelic	no_exp	Total	mono	bi	none	gene
ASD_1	173	3	39	215	0.804651	0.013953	0.181395	XACT
F7_1	97	101	48	246	0.394309	0.410569	0.195122	XACT
F7_2	113	71	25	209	0.540670	0.339713	0.119617	XACT
F7_3	69	57	9	135	0.511111	0.422222	0.066667	XACT
F7_4	270	62	57	389	0.694087	0.159383	0.146530	XACT
F002_1	48	304	21	373	0.128686	0.815013	0.056300	XACT
F002_2	42	282	8	332	0.126506	0.849398	0.024096	XACT
F002_3	41	306	16	363	0.112948	0.842975	0.044077	XACT
F002_4	0	0	255	255	0	0	1	XACT
CD_1	10	204	36	250	0.04	0.816	0.144	XACT
CE_1	22	203	30	255	0.086275	0.796078	0.117647	XACT
ASD_1	318	0	121	439	0.724374	0	0.275626	XIST
ASD_2	283	6	30	319	0.887147	0	0.112853	XIST
F7_1	126	0	118	244	0.516393	0	0.483607	XIST
F7_2	217	0	84	301	0.720930	0	0.279070	XIST
F002_1	0	0	373	373	0	0	1	XIST
F002_2	0	0	332	332	0	0	1	XIST
F002_3	0	0	363	363	0	0	1	XIST
CD_1	0	0	250	250	0	0	1	XIST
CE_2	0	0	255	255	0	0	1	XIST
