cell_line	total_reads_sum	Xreads_sum	ratio	labels
ASD_1	36003249	1173826	0.032603	ASD
ASD_2	32236573	1045327	0.032427	ASD
ASD_3	36423883	1192653	0.032744	ASD
CD_1	35270231	1402214	0.039756	CD
CD_2	31579032	1279189	0.040508	CD
CD_3	32589318	1303299	0.039992	CD
F7cl15_1	31028791	997055	0.032133	F7cl15
F7cl15_2	32949238	1047400	0.031788	F7cl15
F7cl15_3	33611645	1053747	0.031351	F7cl15
F7cl4_1	33327912	1204810	0.036150	F7cl4
F7cl4_2	32244074	1130268	0.035054	F7cl4
F7cl4_3	32624900	1129015	0.034606	F7cl4
F002_1	38420232	1280695	0.033334	F002
F002_2	32987476	1094561	0.033181	F002
F002_3	34182537	1139822	0.033345	F002
CE_1	33940267	1250261	0.036837	CE
CE_2	31769248	1193722	0.037575	CE
CE_3	33387011	1257332	0.037659	CE
