gene_name	log2FoldChange	padj	minor_exp_diff	erosion_status	cell_line
MXRA5	-0.208070090583688	0.418990276756975	0.11608391608391605	eroded	CD.vs.CE
PRKX	0.0883929726833459	0.556464100758717	-0.03837289301685587	non-eroded	CD.vs.CE
SHROOM2	1.12444231297331	7.023654343872659e-16	0.3123249299719889	eroded	CD.vs.CE
TRAPPC2	-0.454679267698606	0.0066085588629846	-0.20740740740740737	non-eroded	CD.vs.CE
CA5B	-0.479596255669788	0.0087359656314286	-0.0844804318488529	non-eroded	CD.vs.CE
TXLNG	0.190243804031801	0.208026913372897	-0.04106739305891838	non-eroded	CD.vs.CE
RBBP7	-0.111872309461829	0.450513004554961	-0.04106739305891838	non-eroded	CD.vs.CE
MAP7D2	0.423245472892893	0.169669423522185	0.5	eroded	CD.vs.CE
RPS6KA3	0.968054460421531	6.771655544554481e-15	0.4395016747957925	eroded	CD.vs.CE
ACOT9	-0.125908164691838	0.463418617655464	0.1153846153846153	eroded	CD.vs.CE
APOO	-0.207167154433364	0.17607038376271	-0.024058062450112994	non-eroded	CD.vs.CE
EIF2S3	-0.0803716582042778	0.556442131315553	-0.008478375394120719	non-eroded	CD.vs.CE
PDK3	-0.0196241760220688	0.917479533896111	-0.018233393282741872	non-eroded	CD.vs.CE
SLC9A7	1.20127441899705	9.22061815158245e-21	0.4119718309859155	eroded	CD.vs.CE
SYN1	0.568191868083094	0.0093133245731263	0.0012091898428053	non-eroded	CD.vs.CE
TIMP1	0.141899804180027	0.388062100341386	0.0012091898428053	non-eroded	CD.vs.CE
CCDC22	0.345648032165998	0.043809914725697	0.0	non-eroded	CD.vs.CE
TSR2	0.442958648743248	0.0001421902070622	0.0	non-eroded	CD.vs.CE
FGD1	0.320292577166171	0.0107449484483124	0.0	non-eroded	CD.vs.CE
USP51	-0.779839523533918	6.3367868921975e-06	0.0	non-eroded	CD.vs.CE
PJA1	0.720059839844755	7.53484947565739e-11	0.4504761904761905	eroded	CD.vs.CE
FAM155B	0.886756092265856	6.82734049603629e-11	0.0	non-eroded	CD.vs.CE
KIF4A	0.027494929424943	0.881979171169765	0.0	non-eroded	CD.vs.CE
GDPD2	-0.295843252751811	0.0780881844291333	0.0	non-eroded	CD.vs.CE
AL139398.1	0.562890096632722	0.54588047442079	0.0	non-eroded	CD.vs.CE
PIN4	-1.07132371032669	5.5413226212639805e-14	0.0	non-eroded	CD.vs.CE
HDAC8	-0.263505781872464	0.331111043693364	0.0	non-eroded	CD.vs.CE
SLC16A2	0.746691833854271	5.0988207841818693e-11	0.3497536945812808	eroded	CD.vs.CE
TSPAN6	0.0922486627187654	0.516250585240991	0.1838259206121474	eroded	CD.vs.CE
TRMT2B	-0.235390080053422	0.160307040374315	0.0	non-eroded	CD.vs.CE
CENPI	-0.426210009629794	0.0017753317919187	0.0	non-eroded	CD.vs.CE
IRS4	0.244955540525482	0.0702078370438866	0.1949786324786325	eroded	CD.vs.CE
AL035425.1	0.311660701231566	0.336820477043768	0.1949786324786325	eroded	CD.vs.CE
KCNE5	0.745190283337805	0.0054858041694822	0.21655422083264772	eroded	CD.vs.CE
ACSL4	0.0554080061718463	0.768037791088267	0.21655422083264772	eroded	CD.vs.CE
CHRDL1	0.205004172168561	0.0959335142399754	-0.03919002435743618	non-eroded	CD.vs.CE
