sample_id	cell_line	state	XIST/GAPDH	NANOG/GAPDH	PAX6/GAPDH
F7cl15 hiPSCs 1	F7cl15	hiPSCs	0.002868238	0.02672958	#DIV/0!
F7cl15 hiPSCs 2	F7cl15	hiPSCs	0.022198281	0.033671654	7.28736E-05
F7cl15 Ecto 1	F7cl15	Ectoderm	0.015925506	6.4737E-05	0.017966405
F7cl15 Ecto 2	F7cl15	Ectoderm	0.110830253	0.000999839	0.095195083
F7cl4 hiPSCs 1	F7cl4	hiPSCs	2.71455E-07	0.028307224	7.34666E-05
F7cl4 hiPSCs 2	F7cl4	hiPSCs	5.66163E-05	0.037577482	#DIV/0!
F7cl4 Ecto 1	F7cl4	Ectoderm	2.96081E-07	0.000444237	0.025791554
F7cl4 Ecto 2	F7cl4	Ectoderm	1.14026E-05	0.000888906	0.098623831
2041cl13 hiPSCs 1	2041cl13	hiPSCs	0.000974051	0.036118991	6.72334E-05
2041cl13 hiPSCs 2	2041cl13	hiPSCs	0.006062432	0.030499685	3.07284E-05
2041cl13 Ecto 1	2041cl13	Ectoderm	0.002545637	0.000333692	0.006735885
2041cl13 Ecto 2	2041cl13	Ectoderm	0.004545127	0.000106072	0.018366482
2041cl2 hiPSCs 1	2041cl2	hiPSCs	0	0.029847896	2.48285E-05
2041cl2 hiPSCs 2	2041cl2	hiPSCs	3.08978E-05	0.109996305	8.57375E-07
2041cl2 Ecto 1	2041cl2	Ectoderm	2.30212E-05	2.58125E-05	0.01556386
2041cl2 Ecto 2	2041cl2	Ectoderm	1.61505E-05	0.000353069	0.102578403
2042cl9 hiPSCs	2042cl9	hiPSCs	0.005312548	0.075270509	0.000168039
2042cl9 Ecto	2042cl9	Ectoderm	0.030762913	0.000817624	0.036780685
2042cl5 hiPSCs	2042cl5	hiPSCs	0.000245267	0.024478117	1.03249E-06
2042cl5 Ecto	2042cl5	Ectoderm	0.000632991	0.000156278	0.007872278
