sample	monoallelic	biallelic	no_exp	Total	mono	bi	none	gene
ASD_1	231	0	10	241	0.958506	0.000000	0.041494	HUWE1
F002_1	268	0	8	276	0.971014	0.000000	0.028986	HUWE1
CD_1	300	0	3	303	0.990099	0.000000	0.009901	HUWE1
CE_1	654	0	49	703	0.930299	0.000000	0.069701	HUWE1
ASD_1	218	0	8	226	0.964602	0.000000	0.035398	ATRX
ASD_2	202	0	7	209	0.966507	0.000000	0.033493	ATRX
F002	267	0	9	276	0.967391	0.000000	0.032609	ATRX
CD_1	225	0	3	228	0.986842	0.000000	0.013158	ATRX
CD_2	146	0	6	152	0.960526	0.000000	0.039474	ATRX
CE_1	286	0	5	291	0.982818	0.000000	0.017182	ATRX
CE_2	550	0	147	697	0.789096	0.000000	0.210904	ATRX
