sample	monoallelic	biallelic	no_exp	Total	mono	bi	none	gene
F7cl15_1	407	0	10	417	0.976019	0.000000	0.023981	POLA1
ASD_1	203	0	13	216	0.939815	0.000000	0.060185	POLA1
F002_1	15	268	5	288	0.052083	0.930556	0.017361	POLA1
F7cl4_1	289	14	35	338	0.855030	0.041420	0.103550	POLA1
CD_1	4	244	18	266	0.015038	0.917293	0.067669	POLA1
CE_1	29	318	41	388	0.074742	0.819588	0.105670	POLA1
F7cl15_1	404	0	20	424	0.952830	0.000000	0.047170	HDAC8
ASD_1	205	0	10	215	0.953488	0.000000	0.046512	HDAC8
F002_1	279	2	5	286	0.975524	0.006993	0.017483	HDAC8
F7cl4_1	319	0	24	343	0.930029	0.000000	0.069971	HDAC8
CD_1	234	0	32	266	0.879699	0.000000	0.120301	HDAC8
CE_1	266	0	126	392	0.678571	0.000000	0.321429	HDAC8
