CpG Position	Locus	F7cl15	F7cl4	CD	CE	2040 Fib	2040cl6	2042 Fib	2042cl1	2042cl9
Chr11:3827858	RHOG	94.37109375	89.4994812	92.99887848	90.23410797	92.47881317	91.30400085	97.83415985	91.40550995	94.32353973
Chr11:3827862	RHOG	92.43800354	90.45178223	92.57300568	90.5411377	87.51322937	91.25157166	83.15130615	91.4407959	93.487854
Chr11:3827875	RHOG	94.65505981	91.64694977	94.40055847	90.53170013	89.39554596	94.44210815	89.54912567	93.25736237	94.17787933
Chr11:3827878	RHOG	94.40631104	89.53937531	94.69846344	88.80290222	94.59172821	92.80028534	97.24156952	91.15969849	91.3534317
Chr11:3827904	RHOG	95.72138214	90.37800598	93.9927063	90.1121521	92.90254211	91.85713959	93.09996033	91.68251038	94.3862381
Chr11:3827910	RHOG	89.91498566	82.59130096	86.7922821	80.85883331	80.55260468	82.56216431	73.08353424	76.4370575	82.57409668
Chr11:3827936	RHOG	95.94496155	92.9116745	96.17021179	91.69300079	94.47396088	93.50870514	93.59253693	93.48859406	94.40991974
Chr11:3827942	RHOG	96.00934601	91.77422333	95.2693634	90.99838257	93.71002197	92.73484039	96.64865875	92.57496643	93.48609161
Chr11:3827962	RHOG	93.74963379	89.60540771	93.86234283	87.53063202	92.91004944	90.99495697	97.67320251	89.18532562	90.33691406
Chr3:181712902	SOX2	0.260179788	0.473391801	0.613294661	0.348281175	1.636296034	0.185219482	1.738490582	0.244064793	0.22146979
Chr3:181712911	SOX2	0.338466734	0.54306078	0.037373316	1.012934685	1.451432824	0.667014778	0.989028692	0.688124299	1.079734206
Chr3:181712923	SOX2	1.439275265	1.077516913	2.779977083	1.199894547	6.450410366	0.684100568	8.654333115	2.728482723	2.035075665
Chr3:181712927	SOX2	0.507839799	0.612850189	0.707956791	0.738215864	4.650297642	0.335225642	12.02843189	0.953648269	0.445163906
Chr3:181712930	SOX2	0.705090225	0.348675042	0.596298993	0.086677976	6.375838757	0.045525055	12.51064777	1.200000048	0.428397864
Chr3:181712935	SOX2	0.306949764	0.345068038	0.068181321	0.071598142	7.036485672	0.561437845	15.78911018	0.799289525	0.722383201
Chr3:181712955	SOX2	0.256149709	0.352396101	0.050593928	0.342943281	5.989583492	0.477500141	13.68825626	1.087197661	0.5946545
Chr3:181712960	SOX2	0.040224411	0.379228294	0.28816542	0.122479744	5.16920805	0.028686173	14.63493252	0.931883752	0.485964566
Chr3:181712963	SOX2	0.029639667	0.180683017	0.02420029	0.169609711	2.713754654	0.032068592	6.912983418	0.332741797	0.451861799
Chr3:181712969	SOX2	0.247765869	0.246993124	0.69126451	0.1470505	10.46944904	0.322596997	23.43012428	1.243615389	0.083171614
Chr3:181712998	SOX2	0.322149932	0.35995701	0.099162623	0.143382698	5.186567307	0.700069308	16.02736855	1.024270773	1.120501995
Chr3:181713014	SOX2	0.446882427	0.298881441	0.563702822	0.305343509	3.645833254	0.317664146	7.121477127	0.798403203	0.066116408
Chr3:181713019	SOX2	0.4469392	0.266709626	0.041847456	0.209248409	3.833271265	0.324521661	8.632480621	0.421566457	0.027729783
Chr3:181713043	SOX2	0.413065583	0.239829615	0.026428808	0.282821417	2.455357075	0.018594587	3.876540422	0.24422735	0.550388277
Chr11:2002886	IGF2-H19	96.45641327	94.23174286	85.12036133	80.21312714	53.18595505	81.76888275	51.85097122	81.93779755	92.83917236
Chr11:2002896	IGF2-H19	95.59431458	93.79784393	80.3862381	74.42479706	54.14507675	74.99809265	51.21959686	80.33472443	91.99897766
Chr11:2002924	IGF2-H19	96.73281097	93.27319336	77.74349213	75.327034	52.46113968	76.2273407	46.73409653	78.99461365	93.20643616
Chr11:2002936	IGF2-H19	96.98950195	94.89034271	78.17803955	79.06018829	56.73575211	81.96170044	55.03216553	85.33811951	95.17663574
Chr11:2002962	IGF2-H19	89.45030975	86.17294312	72.23377991	61.36886597	38.10142899	66.52825928	29.76522636	66.90604401	76.43560791
Chr11:2002989	IGF2-H19	95.72330475	93.91493988	87.13710022	76.1159668	51.04166794	76.55124664	44.80397797	80.70700836	92.15034485
Chr11:2002995	IGF2-H19	94.91698456	93.03876495	82.39128876	74.05294037	52.61096573	75.35285187	49.19786072	81.10047913	91.15144348
Chr11:2003023	IGF2-H19	96.75711823	94.76680756	84.12602234	75.46711731	55.33854294	75.27889252	53.69532013	85.68004608	94.08435059
Chr11:2003026	IGF2-H19	98.12864685	95.36344147	82.84850311	76.84095764	55.54106903	77.27876282	57.33737183	85.34689331	96.44970703
Chr11:2003028	IGF2-H19	97.93758392	95.70503998	85.37944794	71.15501404	53.56679535	75.93131256	56.9314003	84.95522308	94.64559174
Chr11:2003030	IGF2-H19	97.6783371	95.58370972	84.92276764	78.12538147	56.3068924	78.73876953	55.88035202	84.44045258	95.52423859
Chr11:2003050	IGF2-H19	97.04803467	95.1944809	79.64940643	76.82512665	53.43709564	78.44657898	52.54831314	81.19403076	92.19593811
Chr11:2003058	IGF2-H19	98.93553162	95.15732574	87.94516754	77.34384155	54.4863472	81.29930115	54.29174423	83.75149536	93.09475708
Chr11:2003066	IGF2-H19	97.77376556	94.94657898	85.42058563	84.82348633	57.2171669	84.34660339	57.0086441	86.89407349	95.735672
Chr11:2003085	IGF2-H19	96.25414276	93.67073822	88.33938599	80.44665527	51.89048386	85.06322479	45.99489212	83.45366669	95.14967346
Chr2:206257411	GPR1-ZDBF2	46.61579132	49.18363571	51.25290298	51.20714569	43.95300674	47.98870468	39.97425842	55.47073746	90.98387909
Chr2:206257420	GPR1-ZDBF2	61.64948273	63.39685822	69.29473114	66.12377167	54.45134735	67.65548706	39.01012802	67.70502472	88.16202545
Chr2:206257447	GPR1-ZDBF2	42.26105881	45.94381714	49.07449722	48.78350067	39.74982452	50.02563858	34.58415985	53.29494476	84.38260651
Chr2:206257460	GPR1-ZDBF2	52.37312317	50.35530472	53.33414841	51.82746887	45.32872009	52.9192276	36.3633194	56.51340866	88.23947906
Chr2:206257506	GPR1-ZDBF2	50.58353043	53.17075348	51.22861862	55.79072189	41.06648254	54.97314453	31.21648979	56.86024094	90.48938751
Chr2:206257513	GPR1-ZDBF2	35.75806427	38.23247528	42.04482651	41.61846924	30.7479229	41.18081284	22.07403374	46.65391922	79.14512634
Chr2:206257578	GPR1-ZDBF2	37.94782639	40.86554718	44.18291473	43.62062454	33.81843567	41.16887283	32.24547958	49.13957977	83.70742035
Chr2:206257594	GPR1-ZDBF2	46.11365509	47.23908234	46.59031677	49.93351364	40.29126358	46.54029846	42.39077377	55.52715683	94.91226959
Chr2:206257601	GPR1-ZDBF2	44.89512634	46.86987305	51.38182449	51.33952332	43.23570251	46.99245071	39.18014526	56.86024094	94.14717865
Chr2:206257624	GPR1-ZDBF2	39.88838196	45.34569168	47.4954071	46.74144363	34.67127991	43.34941101	34.37848282	53.69897842	88.26507568
Chr2:206257635	GPR1-ZDBF2	44.90842438	48.83582306	50.21590805	51.00086975	42.5605545	48.76878738	39.65925598	56.56887817	93.42972565
Chr2:206257639	GPR1-ZDBF2	43.12637329	48.99254608	52.51340103	50.80348587	40.471241	47.11388397	39.4853363	55.80356979	92.3246994
Chr14:100809368	IG-DMR (CG4)	98.55867004	92.90420532	64.91036987	58.68442917	55.33088303	84.22783661	50.86228943	88.16771698	95.82463837
