gene_name	cell_line	aCount	bCount	totalCount	allelic_exp	minor_exp	label	XCI	cat_final
ABCD1	F002	0	20	20	monoallelic	0.0	F002_1	inactive	unchanged
ABCD1	F002	0	18	18	monoallelic	0.0	F002_2	inactive	unchanged
ABCD1	F002	0	17	17	monoallelic	0.0	F002_3	inactive	unchanged
ABCD1	F7cl15	0	19	19	monoallelic	0.0	F7cl15_1	inactive	unchanged
ABCD1	F7cl15	0	12	12	monoallelic	0.0	F7cl15_2	inactive	unchanged
ABCD1	F7cl15	0	16	16	monoallelic	0.0	F7cl15_3	inactive	unchanged
ABCD1	F7cl4	0	17	17	monoallelic	0.0	F7cl4_1	inactive	unchanged
ABCD1	F7cl4	0	10	10	monoallelic	0.0	F7cl4_3	inactive	unchanged
AC233976.1	F7cl15	102	0	102	monoallelic	0.0	F7cl15_1		unchanged
AC233976.1	F7cl15	162	0	162	monoallelic	0.0	F7cl15_2		unchanged
AC233976.1	F7cl15	147	0	147	monoallelic	0.0	F7cl15_3		unchanged
AC233976.1	F7cl4	169	0	169	monoallelic	0.0	F7cl4_1		unchanged
AC233976.1	F7cl4	181	0	181	monoallelic	0.0	F7cl4_2		unchanged
AC233976.1	F7cl4	185	0	185	monoallelic	0.0	F7cl4_3		unchanged
AC244102.3	F002	19	0	19	monoallelic	0.0	F002_1		
AC244102.3	F002	15	0	15	monoallelic	0.0	F002_2		
AC244102.3	F002	12	0	12	monoallelic	0.0	F002_3		
AC244102.3	F7cl15	0	10	10	monoallelic	0.0	F7cl15_1		
AC244102.3	F7cl15	0	22	22	monoallelic	0.0	F7cl15_2		
AC244102.3	F7cl15	0	32	32	monoallelic	0.0	F7cl15_3		
AC244102.3	F7cl4	0	17	17	monoallelic	0.0	F7cl4_1		
AC244102.3	F7cl4	0	25	25	monoallelic	0.0	F7cl4_2		
AC244102.3	F7cl4	0	16	16	monoallelic	0.0	F7cl4_3		
AC244197.3	CD	90	2	92	monoallelic	0.02173913	CD_1		unchanged
AC244197.3	CD	74	3	77	monoallelic	0.038961039	CD_2		unchanged
AC244197.3	CD	93	2	95	monoallelic	0.021052632	CD_3		unchanged
AC244197.3	CE	0	74	74	monoallelic	0.0	CE_1		unchanged
AC244197.3	CE	0	75	75	monoallelic	0.0	CE_2		unchanged
AC244197.3	CE	0	73	73	monoallelic	0.0	CE_3		unchanged
AC244197.3	F002	0	78	78	monoallelic	0.0	F002_1		unchanged
AC244197.3	F002	0	113	113	monoallelic	0.0	F002_2		unchanged
AC244197.3	F002	1	100	101	monoallelic	0.00990099	F002_3		unchanged
ACOT9	CD	3	11	14	in-between	0.214285714	CD_1	inactive	unchanged
ACOT9	CD	0	12	12	in-between	0.0	CD_2	inactive	unchanged
ACOT9	CE	10	0	10	monoallelic	0.0	CE_1	inactive	unchanged
ACOT9	CE	13	0	13	monoallelic	0.0	CE_2	inactive	unchanged
ACOT9	CE	20	0	20	monoallelic	0.0	CE_3	inactive	unchanged
ACSL4	CD	39	45	84	biallelic	0.464285714	CD_1	inactive	unchanged
ACSL4	CD	22	39	61	biallelic	0.360655738	CD_2	inactive	unchanged
ACSL4	CD	29	32	61	biallelic	0.475409836	CD_3	inactive	unchanged
ACSL4	CE	5	30	35	in-between	0.142857143	CE_1	inactive	unchanged
ACSL4	CE	11	24	35	in-between	0.314285714	CE_2	inactive	unchanged
ACSL4	CE	10	38	48	in-between	0.208333333	CE_3	inactive	unchanged
AF241726.1	ASD	39	0	39	monoallelic	0.0	ASD_1		
AF241726.1	ASD	29	0	29	monoallelic	0.0	ASD_2		
AF241726.1	ASD	50	0	50	monoallelic	0.0	ASD_3		
AL035425.1	CD	7	20	27	biallelic	0.259259259	CD_1		sporadic up
AL035425.1	CD	29	31	60	biallelic	0.483333333	CD_2		sporadic up
AL035425.1	CD	29	28	57	biallelic	0.49122807	CD_3		sporadic up
AL035425.1	CE	4	15	19	in-between	0.210526316	CE_1		sporadic up
AL035425.1	CE	4	26	30	in-between	0.133333333	CE_2		sporadic up
AL035425.1	CE	12	17	29	in-between	0.413793103	CE_3		sporadic up
AL035425.1	F002	24	0	24	monoallelic	0.0	F002_1		sporadic up
AL035425.1	F002	16	0	16	monoallelic	0.0	F002_2		sporadic up
AL035425.1	F002	13	0	13	monoallelic	0.0	F002_3		sporadic up
AL133500.1	CD	48	0	48	monoallelic	0.0	CD_1		
AL133500.1	CD	38	0	38	monoallelic	0.0	CD_2		
AL133500.1	CD	44	0	44	monoallelic	0.0	CD_3		
AL133500.1	CE	0	16	16	monoallelic	0.0	CE_1		
AL133500.1	CE	0	19	19	monoallelic	0.0	CE_2		
AL133500.1	CE	0	40	40	monoallelic	0.0	CE_3		
AL133500.1	F002	39	0	39	monoallelic	0.0	F002_1		
AL133500.1	F002	26	0	26	monoallelic	0.0	F002_2		
AL133500.1	F002	39	0	39	monoallelic	0.0	F002_3		
AL139398.1	CD	0	124	124	monoallelic	0.0	CD_1		unchanged
AL139398.1	CD	0	107	107	monoallelic	0.0	CD_2		unchanged
AL139398.1	CD	0	74	74	monoallelic	0.0	CD_3		unchanged
AL139398.1	CE	83	0	83	monoallelic	0.0	CE_1		unchanged
AL139398.1	CE	99	0	99	monoallelic	0.0	CE_2		unchanged
AL139398.1	CE	119	0	119	monoallelic	0.0	CE_3		unchanged
APLN	F7cl4	11	0	11	monoallelic	0.0	F7cl4_2	inactive	sporadic up
APLN	F7cl4	10	0	10	monoallelic	0.0	F7cl4_3	inactive	sporadic up
APOO	CD	505	544	1049	biallelic	0.481410867	CD_1	inactive	sporadic up
APOO	CD	432	490	922	biallelic	0.468546638	CD_2	inactive	sporadic up
APOO	CD	450	495	945	biallelic	0.476190476	CD_3	inactive	sporadic up
APOO	CE	614	667	1281	biallelic	0.479313037	CE_1	inactive	sporadic up
APOO	CE	542	551	1093	biallelic	0.495882891	CE_2	inactive	sporadic up
APOO	CE	565	505	1070	biallelic	0.471962617	CE_3	inactive	sporadic up
APOO	F7cl15	0	117	117	monoallelic	0.0	F7cl15_1	inactive	sporadic up
APOO	F7cl15	0	153	153	monoallelic	0.0	F7cl15_2	inactive	sporadic up
APOO	F7cl15	0	135	135	monoallelic	0.0	F7cl15_3	inactive	sporadic up
APOO	F7cl4	0	154	154	monoallelic	0.0	F7cl4_1	inactive	sporadic up
APOO	F7cl4	0	154	154	monoallelic	0.0	F7cl4_2	inactive	sporadic up
APOO	F7cl4	1	200	201	monoallelic	0.004975124	F7cl4_3	inactive	sporadic up
ARHGAP4	ASD	0	79	79	monoallelic	0.0	ASD_1	escape	unchanged
ARHGAP4	ASD	0	59	59	monoallelic	0.0	ASD_2	escape	unchanged
ARHGAP4	ASD	0	113	113	monoallelic	0.0	ASD_3	escape	unchanged
ARHGAP4	F002	23	0	23	monoallelic	0.0	F002_1	escape	unchanged
ARMCX1	ASD	294	0	294	monoallelic	0.0	ASD_1	inactive	unchanged
ARMCX1	ASD	255	0	255	monoallelic	0.0	ASD_2	inactive	unchanged
ARMCX1	ASD	237	0	237	monoallelic	0.0	ASD_3	inactive	unchanged
ARMCX4	ASD	39	0	39	monoallelic	0.0	ASD_1	inactive	unchanged
ARMCX4	ASD	51	0	51	monoallelic	0.0	ASD_2	inactive	unchanged
ARMCX4	ASD	62	0	62	monoallelic	0.0	ASD_3	inactive	unchanged
ARMCX4	F002	50	0	50	monoallelic	0.0	F002_1	inactive	unchanged
ARMCX4	F002	43	0	43	monoallelic	0.0	F002_2	inactive	unchanged
ARMCX4	F002	39	0	39	monoallelic	0.0	F002_3	inactive	unchanged
ARMCX4	F7cl15	0	32	32	monoallelic	0.0	F7cl15_1	inactive	unchanged
ARMCX4	F7cl15	0	27	27	monoallelic	0.0	F7cl15_2	inactive	unchanged
ARMCX4	F7cl15	0	31	31	monoallelic	0.0	F7cl15_3	inactive	unchanged
ARMCX4	F7cl4	0	38	38	monoallelic	0.0	F7cl4_1	inactive	unchanged
ARMCX4	F7cl4	0	36	36	monoallelic	0.0	F7cl4_2	inactive	unchanged
ARMCX4	F7cl4	0	33	33	monoallelic	0.0	F7cl4_3	inactive	unchanged
ARSD	F7cl4	2	8	10	in-between	0.2	F7cl4_1	escape	sporadic up
ATP7A	F002	0	11	11	monoallelic	0.0	F002_1	variable	unchanged
ATRX	F002	33	0	33	monoallelic	0.0	F002_1	inactive	sporadic down
ATRX	F002	36	0	36	monoallelic	0.0	F002_2	inactive	sporadic down
ATRX	F002	33	0	33	monoallelic	0.0	F002_3	inactive	sporadic down
BGN	ASD	0	10	10	monoallelic	0.0	ASD_3	inactive	consistent up
BGN	CD	30	0	30	monoallelic	0.0	CD_1	inactive	consistent up
BGN	CD	20	0	20	monoallelic	0.0	CD_2	inactive	consistent up
BGN	CD	20	0	20	monoallelic	0.0	CD_3	inactive	consistent up
BGN	CE	0	13	13	monoallelic	0.0	CE_1	inactive	consistent up
BGN	CE	0	26	26	monoallelic	0.0	CE_3	inactive	consistent up
BGN	F002	0	30	30	monoallelic	0.0	F002_1	inactive	consistent up
BGN	F002	0	16	16	monoallelic	0.0	F002_2	inactive	consistent up
BX890604.1	F002	10	8	18	biallelic	0.444444444	F002_1		sporadic up
BX890604.1	F002	5	5	10	biallelic	0.5	F002_3		sporadic up
CA5B	CD	21	13	34	biallelic	0.382352941	CD_1	escape	unchanged
CA5B	CD	13	9	22	biallelic	0.409090909	CD_2	escape	unchanged
CA5B	CD	12	10	22	biallelic	0.454545455	CD_3	escape	unchanged
CA5B	CE	22	20	42	biallelic	0.476190476	CE_1	escape	unchanged
CA5B	CE	15	10	25	biallelic	0.4	CE_2	escape	unchanged
CA5B	CE	11	17	28	biallelic	0.392857143	CE_3	escape	unchanged
CA5B	F002	11	7	18	biallelic	0.388888889	F002_1	escape	unchanged
CA5B	F002	19	15	34	biallelic	0.441176471	F002_2	escape	unchanged
CA5B	F002	8	25	33	biallelic	0.242424242	F002_3	escape	unchanged
CA5B	F7cl15	24	2	26	in-between	0.076923077	F7cl15_2	escape	unchanged
CA5B	F7cl15	10	3	13	in-between	0.230769231	F7cl15_3	escape	unchanged
CA5B	F7cl4	13	4	17	biallelic	0.235294118	F7cl4_1	escape	unchanged
CA5B	F7cl4	10	7	17	biallelic	0.411764706	F7cl4_2	escape	unchanged
CA5B	F7cl4	6	12	18	biallelic	0.333333333	F7cl4_3	escape	unchanged
CCDC22	CD	69	0	69	monoallelic	0.0	CD_1	inactive	unchanged
CCDC22	CD	57	0	57	monoallelic	0.0	CD_2	inactive	unchanged
CCDC22	CD	52	0	52	monoallelic	0.0	CD_3	inactive	unchanged
CCDC22	CE	0	36	36	monoallelic	0.0	CE_1	inactive	unchanged
CCDC22	CE	0	52	52	monoallelic	0.0	CE_2	inactive	unchanged
CCDC22	CE	0	47	47	monoallelic	0.0	CE_3	inactive	unchanged
CCDC22	F7cl15	20	0	20	monoallelic	0.0	F7cl15_1	inactive	unchanged
CCDC22	F7cl15	33	0	33	monoallelic	0.0	F7cl15_2	inactive	unchanged
CCDC22	F7cl15	43	0	43	monoallelic	0.0	F7cl15_3	inactive	unchanged
CCDC22	F7cl4	31	0	31	monoallelic	0.0	F7cl4_1	inactive	unchanged
CCDC22	F7cl4	35	0	35	monoallelic	0.0	F7cl4_2	inactive	unchanged
CCDC22	F7cl4	25	0	25	monoallelic	0.0	F7cl4_3	inactive	unchanged
CD99L2	F7cl15	0	34	34	monoallelic	0.0	F7cl15_1	inactive	unchanged
CD99L2	F7cl15	0	47	47	monoallelic	0.0	F7cl15_2	inactive	unchanged
CD99L2	F7cl15	0	39	39	monoallelic	0.0	F7cl15_3	inactive	unchanged
CD99L2	F7cl4	0	35	35	monoallelic	0.0	F7cl4_1	inactive	unchanged
CD99L2	F7cl4	0	38	38	monoallelic	0.0	F7cl4_2	inactive	unchanged
CD99L2	F7cl4	0	27	27	monoallelic	0.0	F7cl4_3	inactive	unchanged
CENPI	ASD	101	0	101	monoallelic	0.0	ASD_1	inactive	unchanged
CENPI	ASD	63	0	63	monoallelic	0.0	ASD_2	inactive	unchanged
CENPI	ASD	72	0	72	monoallelic	0.0	ASD_3	inactive	unchanged
CENPI	CD	43	0	43	monoallelic	0.0	CD_1	inactive	unchanged
CENPI	CD	26	0	26	monoallelic	0.0	CD_2	inactive	unchanged
CENPI	CD	50	0	50	monoallelic	0.0	CD_3	inactive	unchanged
CENPI	CE	0	47	47	monoallelic	0.0	CE_1	inactive	unchanged
CENPI	CE	0	48	48	monoallelic	0.0	CE_2	inactive	unchanged
CENPI	CE	0	51	51	monoallelic	0.0	CE_3	inactive	unchanged
CENPI	F002	55	0	55	monoallelic	0.0	F002_1	inactive	unchanged
CENPI	F002	62	0	62	monoallelic	0.0	F002_2	inactive	unchanged
CENPI	F002	82	0	82	monoallelic	0.0	F002_3	inactive	unchanged
CENPI	F7cl15	34	0	34	monoallelic	0.0	F7cl15_1	inactive	unchanged
CENPI	F7cl15	53	0	53	monoallelic	0.0	F7cl15_2	inactive	unchanged
CENPI	F7cl15	52	0	52	monoallelic	0.0	F7cl15_3	inactive	unchanged
CENPI	F7cl4	45	0	45	monoallelic	0.0	F7cl4_1	inactive	unchanged
CENPI	F7cl4	30	0	30	monoallelic	0.0	F7cl4_2	inactive	unchanged
CENPI	F7cl4	47	0	47	monoallelic	0.0	F7cl4_3	inactive	unchanged
CHRDL1	ASD	55	6	61	monoallelic	0.098360656	ASD_1	escape	consistent up
CHRDL1	ASD	60	6	66	monoallelic	0.090909091	ASD_2	escape	consistent up
CHRDL1	ASD	96	5	101	monoallelic	0.04950495	ASD_3	escape	consistent up
CHRDL1	CD	58	69	127	biallelic	0.456692913	CD_1	escape	consistent up
CHRDL1	CD	65	39	104	biallelic	0.375	CD_2	escape	consistent up
CHRDL1	CD	69	46	115	biallelic	0.4	CD_3	escape	consistent up
CHRDL1	CE	45	52	97	biallelic	0.463917526	CE_1	escape	consistent up
CHRDL1	CE	46	44	90	biallelic	0.488888889	CE_2	escape	consistent up
CHRDL1	CE	63	68	131	biallelic	0.480916031	CE_3	escape	consistent up
CHRDL1	F7cl15	65	2	67	monoallelic	0.029850746	F7cl15_1	escape	consistent up
CHRDL1	F7cl15	82	2	84	monoallelic	0.023809524	F7cl15_2	escape	consistent up
CHRDL1	F7cl15	50	1	51	monoallelic	0.019607843	F7cl15_3	escape	consistent up
