chr	start	end	gene_name	mark	XCI
chrX	11.758158	11.775772	MSL3	"Sporadic Up 
hiPSC DEGs"	escape
chrX	153.93526799999998	153.944687	RENBP	"Sporadic Up 
hiPSC DEGs"	escape
chrX	14.006725	14.029893	GEMIN8	"Sporadic Up 
hiPSC DEGs"	escape
chrX	112.454499	112.457112	RTL4	"Sporadic Up 
hiPSC DEGs"	escape
chrX	3.604339	3.7136489999999998	PRKX	"Sporadic Up 
hiPSC DEGs"	escape
chrX	119.61572299999999	119.69337	SEPTIN6	"Sporadic Up 
hiPSC DEGs"	escape
chrX	7.898245999999999	7.927739	PNPLA4	"Sporadic Up 
hiPSC DEGs"	escape
chrX	53.225826999999995	53.321349999999995	IQSEC2	"Sporadic Up 
hiPSC DEGs"	escape
chrX	15.627317	15.675011999999999	CLTRN	"Sporadic Up 
hiPSC DEGs"	escape
chrX	68.647665	68.725842	STARD8	"Sporadic Up 
hiPSC DEGs"	escape
chrX	44.523638	44.542859	FUNDC1	"Sporadic Up 
hiPSC DEGs"	escape
chrX	53.19132	53.225421999999995	KDM5C	"Sporadic Up 
hiPSC DEGs"	escape
chrX	13.653188	13.681963999999999	TCEANC	"Sporadic Up 
hiPSC DEGs"	escape
chrX	13.689127	13.710504	RAB9A	"Sporadic Up 
hiPSC DEGs"	escape
chrX	2.4864129999999998	2.500976	ZBED1	"Sporadic Up 
hiPSC DEGs"	escape
chrX	1.5916029999999999	1.60252	AKAP17A	"Sporadic Up 
hiPSC DEGs"	escape
chrX	3.308564	3.3466519999999997	MXRA5	"Sporadic Up 
hiPSC DEGs"	escape
chrX	2.752039	2.8165	XG	"Sporadic Up 
hiPSC DEGs"	escape
chrX	13.712242999999999	13.734634999999999	TRAPPC2	"Sporadic Up 
hiPSC DEGs"	escape
chrX	47.19086	47.215128	UBA1	"Sporadic Up 
hiPSC DEGs"	escape
chrX	2.903971	2.9293489999999998	ARSD	"Sporadic Up 
hiPSC DEGs"	escape
chrX	41.085443999999995	41.236579	USP9X	"Sporadic Up 
hiPSC DEGs"	escape
chrX	40.648303999999996	40.735858	MED14	"Sporadic Up 
hiPSC DEGs"	escape
chrX	47.142215	47.145038	NDUFB11	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	108.084206	108.091549	PSMD10	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	37.349308	37.457291999999995	PRRG1	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	104.11213	104.115842	ZCCHC18	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	49.174800999999995	49.186527999999996	PRICKLE3	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	23.664261	23.686397	PRDX4	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	103.77371699999999	103.792619	PLP1	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	69.16085	69.165521	PJA1	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	48.913180999999994	48.919024	PIM2	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	65.588376	65.741931	MSN	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	134.373311	134.428791	PHF6	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	129.539848	129.592561	OCRL	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	105.822538	105.95861	NRK	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	56.72924	56.819179	NBDY	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	71.14483	71.171201	NLGN3	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	115.561173	115.65086099999999	PLS3	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	48.831095	48.835609999999996	PCSK1N	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	20.14991	20.267519	RPS6KA3	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	17.800048	17.861337	RAI2	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	118.34607199999999	118.44996099999999	WDR44	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	56.563626	56.567868	UBQLN2	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	154.483716	154.486615	UBL4A	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	12.975109	12.977227	TMSB4X	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	103.91889499999999	103.966712	TMSB15B	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	153.97275299999998	153.983194	TMEM187	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	103.33022799999999	103.332326	TCEAL7	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	103.57623	103.587729	TCEAL4	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	103.60745	103.62969	TCEAL3	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	9.463294	9.741037	TBL1X	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	30.827441	30.975084	TAB3	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	132.023301	132.075943	STK26	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	21.940708	21.994837	SMS	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	129.4465	129.52349999999998	SMARCA1	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	48.903178999999994	48.911958	SLC35A2	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	104.09921299999999	104.157009	SLC25A53	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	130.339887	130.373361	SLC25A14	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	50.591640999999996	50.814302	SHROOM4	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	23.783172	23.786226	SAT1	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	135.020512	135.022542	RTL8B	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	72.12710899999999	72.131901	RTL5	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	134.887631	134.915257	MOSPD1	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	38.269162	38.327543999999996	RPGR	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	130.401986	130.413656	RBMX2	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	132.203023	132.21948	RAP2C	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	106.61192899999999	106.679439	RADX	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	106.81387	107.00021199999999	MORC4	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	135.248919	135.344109	ZNF75D	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	130.622324	130.903317	ENOX2	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	55.000361999999996	55.009057	APEX2	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	14.83596	14.873069	FANCB	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	154.506158	154.516242	FAM3A	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	129.64525799999998	129.654956	APLN	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	104.16645199999999	104.19590199999999	FAM199X	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	23.833351999999998	23.907937999999998	APOO	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	93.67401199999999	93.712274	FAM133A	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	134.769565	134.79723199999998	FAM122B	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	55.143100999999994	55.16131	FAM104B	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	134.543118	134.546642	MIR503HG	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	139.72634499999998	139.945276	ATP11C	"Sporadic Up 
hiPSC DEGs"	inactive
chrX	47.63552	47.650604	ELK1	"Sporadic Up 
hiPSC DEGs"	inactive
